Rank,Team,Name,Nr,Pos,Spiele,Assists
332,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,8,0
333,FC Viktoria 1889 Berlin II,Mirko Wach,NA,NA,0,0
334,Berliner SC II,Bryan Lilja,18,LM,2,0
335,Türkiyemspor Berlin,Kenan Özen,6,ZDM,10,0
336,BFC Preussen II,Guilherme Henrique Lopes De Oliveira,NA,NA,0,0
337,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,4,0
338,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,13,0
339,Köpenicker FC,Anton Neumann,14,ZM,10,0
340,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,8,0
341,VfB Concordia Britz 1916,Aykut Tezel,NA,NA,0,0
342,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,1,0
343,Türkiyemspor Berlin,Tolgahan Can Eskin,21,LM,5,0
344,BSV Eintracht Mahlsdorf II,Björn Heydemann,NA,ST,2,0
345,Köpenicker FC,Tom-Niclas Hamann,23,IV,10,0
346,TSV Rudow Berlin,Jonas Becker,3,IV,13,0
347,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
348,Berliner SC II,Jesse Kreuschner,31,TW,5,0
349,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZM,9,0
350,Köpenicker FC,Tim Höfer,NA,TW,1,0
351,Berliner SC II,Luca Raoul Al-Habash,NA,RM,1,0
352,FSV Berolina Stralau 1901,Ali Esweiei,NA,NA,1,0
353,Berliner SV 1892,Chidera Iwuozor,6,LM,6,0
354,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,6,0
355,FC Viktoria 1889 Berlin II,Lucien Littbarski,NA,ZOM,1,0
356,TSV Rudow Berlin,Elias Burda,13,IV,14,0
357,SV Stern Britz 1889,Stephane Franklin Yoko,12,NA,1,0
358,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,0
359,FSV Berolina Stralau 1901,David Bode,18,IV,7,0
360,FC Viktoria 1889 Berlin II,Nico Pohlan,NA,NA,0,0
361,BFC Preussen II,Serhan Arslani,NA,NA,1,0
362,BFC Preussen II,Tim Eymann,19,LV,4,0
363,FSV Berolina Stralau 1901,Arian Saiti,17,RM,12,0
364,BFC Meteor 06,Rick Mickael Ella,70,LM,8,0
365,FC Viktoria 1889 Berlin II,Nico Starkowski,29,TW,1,0
366,TSV Rudow Berlin,Eliot Tolaj,15,IV,10,0
367,TSV Rudow Berlin,Nana Kwame Badu-Amoah,7,LM,9,0
368,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,12,NA,12,0
369,BFC Meteor 06,Mohammed Hamiss,99,NA,7,0
370,SV Empor Berlin II,Kolja Gramse,NA,NA,1,0
371,BFC Meteor 06,Leo Suilmann,1,TW,7,0
372,FC Internationale Berlin 1980,Jim Bratschke,77,RM,5,0
373,SV Empor Berlin II,Niclas Nixdorf,3,IV,12,0
374,SV Empor Berlin II,Jannick Wollmann,NA,IV,2,0
375,Berliner SC II,Paul Schlicht,1,TW,11,0
376,BSV Eintracht Mahlsdorf II,Tami Benkert,NA,ZM,1,0
377,SV Stern Britz 1889,Benis Leci,30,LM,12,0
378,SV Stern Britz 1889,Leonit Leci,17,LM,14,0
379,Köpenicker FC,Felix Hartmann,15,TW,15,0
380,BSV Eintracht Mahlsdorf II,Sune Tore Schröter,NA,NA,2,0
381,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,8,0
382,FC Viktoria 1889 Berlin II,Leart Halimi,27,RM,3,0
383,Türkiyemspor Berlin,Deren Yoldas Emre,36,LV,12,0
384,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,11,0
385,BSV Eintracht Mahlsdorf II,Lukas Otto,NA,NA,0,0
386,FC Internationale Berlin 1980,Bryson Rodney Pink,NA,NA,1,0
387,Köpenicker FC,Alieu Nyassi,NA,NA,2,0
388,Türkiyemspor Berlin,Mustafa Kenan Yigitoglu,NA,NA,1,0
389,BSV Al-Dersimspor,William Essel,9,LM,11,0
390,BFC Preussen II,Lasse Engelsing,12,LV,9,0
391,FSV Berolina Stralau 1901,Andreas Friese,23,TW,11,0
392,Köpenicker FC,Nicolas Tauschwitz,10,LM,12,0
393,SV Stern Britz 1889,Miran Aykus,5,IV,5,0
394,FC Viktoria 1889 Berlin II,Hadi El-Hayek,23,NA,1,0
395,Türkiyemspor Berlin,Koray Aktas,21,TW,5,0
396,Berliner SC II,Zahm Rad,NA,ZM,2,0
397,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,12,0
398,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,13,0
399,VfB Concordia Britz 1916,Burak Tatli,44,ST,3,0
400,FC Internationale Berlin 1980,Kaan Ucbaglar,44,LM,0,0
401,BSV Al-Dersimspor,Kaan Ucbaglar,44,LM,9,0
402,SV Stern Britz 1889,Ahmed Saygi,NA,NA,1,0
403,BFC Preussen II,Marko Fischer,4,LM,2,0
404,Türkiyemspor Berlin,Deniz Karakus,32,IV,4,0
405,FC Viktoria 1889 Berlin II,Joan Schäfer Llauger,8,LM,8,0
406,BFC Meteor 06,Tyrone Mengesha,NA,NA,0,0
407,BFC Preussen II,Tim Henseler,NA,NA,4,0
408,Türkiyemspor Berlin,Görkem Tozlu,NA,NA,3,0
409,SC Borsigwalde 1910,Ahmad Chehade,NA,NA,1,0
