Rank,Team,Name,Nr,Pos,Spiele,Assists
284,FSV Berolina Stralau 1901,Ian Häberle,22,IV,23,0
285,SV Empor Berlin II,Joris Möller,NA,LM,1,0
286,BSV Al-Dersimspor,Leorant Abduli,23,NA,1,0
287,Türkiyemspor Berlin,Ali Mert Koca,15,ZOM,6,0
288,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,18,0
289,TSV Rudow Berlin,Talha Sennur,24,ST,23,0
290,FC Internationale Berlin 1980,Milan Daus,10,ST,23,0
291,SC Borsigwalde 1910,Magnus Crone,14,RM,22,0
292,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,21,0
293,Türkiyemspor Berlin,Mehmet Tunay,NA,LM,14,0
294,FC Internationale Berlin 1980,Josè Francisco Cunto,NA,NA,3,0
295,Berliner SV 1892,Tim Paschke,13,ST,15,0
296,Berliner SV 1892,Stefano Tedesco,22,IV,23,0
297,BSV Eintracht Mahlsdorf II,Marcus Grund,NA,ZM,4,0
298,Berliner SC II,Danilo Arsic,11,ST,7,0
299,FC Viktoria 1889 Berlin II,Patrick Büch,NA,NA,0,0
300,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,7,0
301,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
302,BSV Eintracht Mahlsdorf II,Fabio Findeisen,NA,ZM,4,0
303,SV Empor Berlin II,Demba Mendy,9,ST,18,0
304,Köpenicker FC,Adrian Thiemann,1,TW,20,0
305,BSV Al-Dersimspor,Can Yildiz,NA,NA,5,0
306,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,ST,10,0
307,SC Borsigwalde 1910,David Mpembele Nzongo,25,ST,6,0
308,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,5,0
309,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,0
310,VfB Concordia Britz 1916,Leon Ketel,1,TW,14,0
311,VfB Concordia Britz 1916,Merlin Schulz,8,IV,1,0
312,Berliner SC II,Leon Ibrom,4,IV,24,0
313,SV Empor Berlin II,David Schäfer,NA,LV,3,0
314,Berliner SC II,Rene Lohmeier,NA,NA,0,0
315,SV Empor Berlin II,Sam Misgayski,22,NA,1,0
316,FSV Berolina Stralau 1901,Pablo Guillen,8,ZM,17,0
317,SV Stern Britz 1889,Luca Wojan,22,ZDM,17,0
318,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
319,Köpenicker FC,Tarek Borchmeier,13,ZM,21,0
320,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,RV,5,0
