Rank,Team,Name,Nr,Pos,Spiele,Assists
228,SC Berliner Amateure,Paul Becker,NA,NA,0,0
229,SC Berliner Amateure,Felix Mehring,NA,NA,0,0
230,SC Berliner Amateure,Anton Vossen,NA,NA,0,0
231,SC Berliner Amateure,Paul Linus van Bürck,NA,NA,1,0
232,SC Berliner Amateure,Tom Kozak,NA,NA,1,0
233,SC Berliner Amateure,Yannik Rosenberg,NA,NA,0,0
234,SC Berliner Amateure,Asbjørn Kistrup Barfod,NA,NA,1,0
235,SC Berliner Amateure,Aimo Weber,NA,NA,0,0
236,SC Berliner Amateure,Jaromil Essers,NA,NA,1,0
237,SC Berliner Amateure,Fridtjof Müller,NA,ZM,0,0
238,SC Berliner Amateure,Lars Tasche,NA,NA,1,0
239,SC Berliner Amateure,Joscha Schulte-Holtey,NA,NA,1,0
240,SC Berliner Amateure,Lars Werner,NA,NA,1,0
241,SC Berliner Amateure,Soulemane Imorou,NA,NA,1,0
242,SC Berliner Amateure,Caspar Ropers,NA,NA,0,0
243,SC Berliner Amateure,Baboucarr Jammeh,NA,NA,0,0
244,SC Berliner Amateure,Deniz Duman,NA,NA,0,0
245,SC Berliner Amateure,Abdallah Soliman,NA,NA,1,0
246,SC Berliner Amateure,Ismaila Njie,NA,NA,1,0
247,SC Berliner Amateure,Lucian Ewald,NA,NA,1,0
248,SC Berliner Amateure,Jakob Lenz,NA,NA,0,0
249,SC Berliner Amateure,Malte Räuchle,NA,NA,0,0
250,SC Berliner Amateure,Moritz Willkomm,NA,NA,1,0
251,SC Berliner Amateure,Carlos Frei,NA,NA,1,0
252,SC Berliner Amateure,Ben Kozak,NA,NA,0,0
253,Friedenauer TSC,Soeren Kissner,NA,NA,0,0
254,Friedenauer TSC,Kevin Woithe,NA,NA,1,0
255,Friedenauer TSC,Armin Ghassemi Yeganeh,NA,NA,0,0
256,Friedenauer TSC,Maximilian Reinhard Schubart,NA,NA,0,0
257,Friedenauer TSC,Lionel Vowinckel,NA,NA,1,0
258,Friedenauer TSC,Sebastian Smith,NA,NA,0,0
259,Friedenauer TSC,Theo Prümke,NA,NA,1,0
260,Friedenauer TSC,Carl Prümke,NA,NA,0,0
261,Friedenauer TSC,Niklas Rother,NA,NA,1,0
262,Friedenauer TSC,Joshua Ridzewski,NA,NA,0,0
263,Friedenauer TSC,Hussein Ahmo,NA,NA,0,0
264,Friedenauer TSC,Oskar Lauriac,NA,NA,0,0
265,Friedenauer TSC,Finley Fuchs,NA,NA,0,0
266,Friedenauer TSC,Eray Krüger,NA,NA,0,0
267,Friedenauer TSC,Dominik Vukoja,NA,NA,1,0
268,Friedenauer TSC,Teoman Saatci,NA,NA,0,0
269,Friedenauer TSC,Tarek Moussa,NA,NA,0,0
270,Friedenauer TSC,Tobias Kneppe,NA,NA,0,0
271,Friedenauer TSC,Bünyamin Maras,NA,NA,0,0
272,Friedenauer TSC,Paul Kleinfeldt,NA,NA,1,0
273,Friedenauer TSC,Tim Gandert,NA,NA,1,0
274,Friedenauer TSC,Iven Stritzke,NA,NA,1,0
275,Friedenauer TSC,Diego Joaquin Lopez Martinez,NA,NA,0,0
276,Friedenauer TSC,Arhan Colakoglu,NA,NA,0,0
277,Friedenauer TSC,Joshua Fuchs,NA,NA,1,0
278,Friedenauer TSC,Marten Niemeyer,NA,NA,1,0
279,Friedenauer TSC,Louis Anthony Guske,NA,NA,1,0
280,Friedenauer TSC,Ihab Al-Khalaf,NA,NA,1,0
281,Friedenauer TSC,Patrick Magiera,NA,NA,0,0
282,Friedenauer TSC,Kenney Kojo Sey,NA,NA,1,0
283,Friedenauer TSC,Hendrik Herzog,NA,NA,0,0
284,Friedenauer TSC,Markus Magiera,NA,NA,0,0
285,Friedenauer TSC,Tim Wolter,NA,NA,0,0
286,Friedenauer TSC,Nico Tolzmann,NA,NA,0,0
287,Pfeffersport,Theodor Richter,NA,NA,0,0
288,Pfeffersport,Carl Rupprich,NA,NA,0,0
289,Pfeffersport,Cosmo Bandilla,NA,NA,0,0
290,Pfeffersport,Julian Marcell,NA,ZM,1,0
291,Pfeffersport,Friedrich Würzner,NA,NA,0,0
292,Pfeffersport,Carl Zimmering,NA,RV,1,0
293,Pfeffersport,Tamino Brendel,NA,NA,0,0
294,Pfeffersport,Ole Benjamin Will,NA,NA,0,0
295,Pfeffersport,Mohamed Boudlal,NA,LV,1,0
296,Pfeffersport,Rasmus Jakob Thomas Kasimir Kriesel,NA,NA,0,0
297,Pfeffersport,Noah Roitzsch,NA,NA,0,0
298,Pfeffersport,Marius Schreiber,NA,NA,1,0
299,Pfeffersport,Tim Oettle,NA,NA,0,0
300,Pfeffersport,Anton Weber,NA,NA,0,0
301,Pfeffersport,Antonin Urban,NA,NA,0,0
302,Pfeffersport,Jonathan Grunert,NA,ST,1,0
303,Pfeffersport,Eric Mohorn,NA,NA,0,0
304,Pfeffersport,Janek Wieland,NA,NA,0,0
305,Pfeffersport,Manuel Goudjo Aguigah,NA,LM,0,0
306,Pfeffersport,William Scarlett,NA,NA,1,0
307,Pfeffersport,Florian Möller,NA,NA,0,0
308,Pfeffersport,Bela Roth,NA,NA,0,0
309,Pfeffersport,Jelle Röben,NA,NA,0,0
310,Pfeffersport,Elias Ulsamer,NA,NA,0,0
311,Pfeffersport,Linus Debrodt,NA,NA,0,0
312,Pfeffersport,Mohammad Barakat,NA,NA,1,0
313,Pfeffersport,Emmanuel Sokowonci Daniel,NA,NA,0,0
314,Pfeffersport,Jannik Kuß,NA,NA,0,0
315,Pfeffersport,Bonke Andresen,NA,NA,0,0
316,Pfeffersport,Tristan Baron,NA,NA,0,0
317,Pfeffersport,Benedict Klenk,NA,ZM,1,0
318,Pfeffersport,Oskar Schmiedel,NA,NA,1,0
319,Pfeffersport,Paul Oskar Schirp,NA,ZM,1,0
320,Pfeffersport,Philipp Pilz,NA,IV,1,0
321,Pfeffersport,Heinrich Sander,NA,IV,1,0
322,Pfeffersport,Bruno Hertling,NA,NA,0,0
323,Pfeffersport,Joey Luchsinger,NA,NA,0,0
324,Pfeffersport,Jakob Kamara,NA,NA,0,0
325,Pfeffersport,Jannik Kremer,NA,RM,1,0
326,Pfeffersport,Luca Tschiche,NA,NA,0,0
327,Pfeffersport,Elias Aguigah,NA,LM,1,0
328,Pfeffersport,Zorc Kolfenbach,NA,TW,1,0
329,SV BW Berolina Mitte 49,Moritz Müller,NA,ZM,1,0
330,SV BW Berolina Mitte 49,Floris Lucas Georgi,NA,IV,1,0
331,SV BW Berolina Mitte 49,Lennart-Ole Neuber,NA,NA,0,0
332,SV BW Berolina Mitte 49,Leandro Ngomane,NA,NA,0,0
333,SV BW Berolina Mitte 49,Bruno Beuchel,NA,NA,0,0
334,SV BW Berolina Mitte 49,Fabio Benabid,NA,NA,0,0
335,SV BW Berolina Mitte 49,Yann Metzmacher,NA,ZDM,1,0
336,SV BW Berolina Mitte 49,Moritz Kahl,NA,NA,0,0
337,SV BW Berolina Mitte 49,Rio Wermer,NA,NA,0,0
338,SV BW Berolina Mitte 49,Jonas Tilmann,NA,NA,0,0
339,SV BW Berolina Mitte 49,Valentin Wiegand,NA,ZDM,1,0
340,SV BW Berolina Mitte 49,Justin Kretschmer,NA,NA,0,0
341,SV BW Berolina Mitte 49,Minh Dang Ngo,NA,NA,1,0
342,SV BW Berolina Mitte 49,Stephan Arbelaez Rodriguez,NA,NA,0,0
343,SV BW Berolina Mitte 49,Jhon Fernando Garces Daza,NA,NA,1,0
344,SV BW Berolina Mitte 49,Ilya Hadari,NA,NA,0,0
345,SV BW Berolina Mitte 49,Felix Opoku,NA,ST,1,0
346,SV BW Berolina Mitte 49,Daiwy Chioccarelli,NA,LM,1,0
347,SV BW Berolina Mitte 49,Matthäus Schmidt,NA,RM,0,0
348,SV BW Berolina Mitte 49,Anis Metin,NA,NA,0,0
349,SV BW Berolina Mitte 49,Xavier Schmid,NA,NA,0,0
350,SV BW Berolina Mitte 49,Steven Buchweitz,NA,ZOM,1,0
351,SV BW Berolina Mitte 49,Tim Wolf-Triebel,NA,NA,1,0
352,SV BW Berolina Mitte 49,Andreas Gefnider,NA,LV,1,0
353,SV BW Berolina Mitte 49,Henning Stötefalke,NA,NA,1,0
354,SV BW Berolina Mitte 49,Julius Meier,NA,TW,1,0
355,SV BW Berolina Mitte 49,Marc Oliver Schlarmann,NA,RV,1,0
356,SV Empor Berlin II,Philipp Macketanz,NA,NA,1,0
357,SV Empor Berlin II,Pascal Bräkow,NA,NA,1,0
358,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
359,SV Empor Berlin II,Pjotr Xaver Strelets,NA,NA,0,0
360,SV Empor Berlin II,Tilman Schinzel,NA,NA,0,0
361,SV Empor Berlin II,Jonathan Stolp,NA,NA,0,0
362,SV Empor Berlin II,Justin Schmiedel,NA,NA,0,0
363,SV Empor Berlin II,Niclas Nixdorf,NA,NA,0,0
364,SV Empor Berlin II,Jannick Wollmann,NA,NA,1,0
365,SV Empor Berlin II,Aaron Yusuff,NA,NA,0,0
366,SV Empor Berlin II,Milo Lippe,NA,NA,0,0
367,SV Empor Berlin II,Nico Bochnia,NA,NA,1,0
368,SV Empor Berlin II,Emile Ako,NA,NA,1,0
369,SV Empor Berlin II,Leon Drannaschk,NA,NA,1,0
370,SV Empor Berlin II,Oskar Kühn,NA,LV,0,0
371,SV Empor Berlin II,Janne Henrik Bloch,NA,NA,0,0
372,SV Empor Berlin II,Julian Duczmal,NA,NA,1,0
373,SV Empor Berlin II,Billy Bradley Tuckerman,NA,NA,1,0
374,SV Empor Berlin II,Rafael Mentrup,NA,NA,1,0
375,SV Empor Berlin II,Laszlo Braun,NA,NA,0,0
376,SV Empor Berlin II,Mavin Wandel,NA,NA,1,0
377,SV Empor Berlin II,Keita Udo,NA,NA,0,0
378,SV Empor Berlin II,Laurens Cerny,NA,NA,1,0
379,SV Empor Berlin II,Anushan Rajaratnam,NA,NA,1,0
380,SV Empor Berlin II,Reyaj Shrestha,NA,NA,1,0
381,SV Empor Berlin II,Marian Popp,NA,NA,1,0
