Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
256,SC Borsigwalde 1910,Marcel Knaack,NA,ZOM,1,0
257,SC Borsigwalde 1910,Ömer Coskunaydin,NA,NA,1,0
258,SC Borsigwalde 1910,Kevin Kummer,NA,ZDM,2,0
259,SC Borsigwalde 1910,Mohammed Mustafa Acar,NA,IV,2,0
260,SC Borsigwalde 1910,Magnus Crone,NA,NA,1,0
261,BFC Preussen II,Tim Fisch,NA,TW,1,0
262,BFC Preussen II,Kiminu Mayoungou,NA,IV,1,0
263,BFC Preussen II,Jerome Kortebusch,NA,RV,1,0
264,BFC Preussen II,Ahmad El-Mustapha,NA,RM,1,0
265,BFC Preussen II,Serhan Arslani,NA,NA,1,0
266,BFC Preussen II,Tim Henseler,NA,ZDM,1,0
267,BFC Preussen II,Adam Lamkaddam,NA,NA,1,0
268,BFC Preussen II,Leo Sommerfeld,NA,IV,2,0
269,BFC Preussen II,Atacan Özcan,NA,RV,2,0
270,BFC Preussen II,Abdallah Ferchichi,NA,LV,2,0
271,BFC Preussen II,Can Kelesoglu,NA,RM,2,0
272,BFC Preussen II,Sebastian Rühland,NA,NA,1,0
273,BFC Preussen II,Julian Loder,NA,NA,1,0
274,BFC Preussen II,Magnus Stahlberg,NA,IV,2,0
275,BFC Preussen II,Yasin Demir,NA,ZDM,1,0
276,BFC Preussen II,Marcel Berner,NA,NA,1,0
277,BFC Preussen II,Hugo Timur,NA,LM,1,0
278,BFC Preussen II,Dan Feldmann,NA,ST,2,0
279,DJK Schwarz-Weiß Neukölln,Lukas Elszel,NA,NA,1,0
280,DJK Schwarz-Weiß Neukölln,Alisan Erdogan,NA,ZOM,2,0
281,DJK Schwarz-Weiß Neukölln,Barkan Köprülügil,NA,LV,2,0
282,DJK Schwarz-Weiß Neukölln,Noah Faubourg,NA,NA,1,0
283,DJK Schwarz-Weiß Neukölln,Julian Kirsch,NA,ZDM,1,0
284,DJK Schwarz-Weiß Neukölln,Shaker Shawrdi,NA,NA,1,0
285,DJK Schwarz-Weiß Neukölln,Dorian Kühn,NA,LV,1,0
286,DJK Schwarz-Weiß Neukölln,Bekar Hoeri,NA,NA,2,0
287,DJK Schwarz-Weiß Neukölln,Glian Hoeri,NA,NA,2,0
288,DJK Schwarz-Weiß Neukölln,Norman Guski,NA,ST,2,0
289,DJK Schwarz-Weiß Neukölln,Kamil Czuba,NA,NA,1,0
290,DJK Schwarz-Weiß Neukölln,Guillermo Ernesto Padilla Cross,NA,NA,2,0
291,DJK Schwarz-Weiß Neukölln,Tobias Schmidt,NA,RM,2,0
292,DJK Schwarz-Weiß Neukölln,Patrick Boel,NA,TW,2,0
293,DJK Schwarz-Weiß Neukölln,Justin Jakob,NA,RV,2,0
294,DJK Schwarz-Weiß Neukölln,Vittorio Achour,NA,LM,2,0
295,DJK Schwarz-Weiß Neukölln,Josip Ramljak,NA,IV,1,0
296,DJK Schwarz-Weiß Neukölln,Christoph Ruden,NA,ZDM,2,0
297,DJK Schwarz-Weiß Neukölln,Nico Lindner,NA,IV,2,0
298,SF Charlottenburg-Wilmersdorf 03,Robin Gorr,NA,NA,1,0
299,SF Charlottenburg-Wilmersdorf 03,Erik Kosky,NA,RV,2,0
300,SF Charlottenburg-Wilmersdorf 03,Nicholas Jean-Louis,NA,LV,2,0
301,SF Charlottenburg-Wilmersdorf 03,Levi Köhler,NA,IV,1,0
302,SF Charlottenburg-Wilmersdorf 03,Johannes Gehring,NA,ZM,2,0
303,SF Charlottenburg-Wilmersdorf 03,Mohammad Sabra,NA,NA,2,0
304,SF Charlottenburg-Wilmersdorf 03,Koffi Ange Mickael Hermann Yao,NA,IV,2,0
305,SF Charlottenburg-Wilmersdorf 03,Philipp Aufschlag,NA,NA,1,0
306,SF Charlottenburg-Wilmersdorf 03,Bakary Diakite,NA,LM,2,0
307,SF Charlottenburg-Wilmersdorf 03,Hussein Sabah,NA,IV,1,0
308,SF Charlottenburg-Wilmersdorf 03,Niklas Höhne,NA,TW,1,0
309,SF Charlottenburg-Wilmersdorf 03,Lasse Kollof,NA,NA,1,0
310,SF Charlottenburg-Wilmersdorf 03,Oskar Dornheim,NA,ZM,2,0
311,SF Charlottenburg-Wilmersdorf 03,Nuno Tyrese Nuamah Dos Santos,NA,NA,2,0
312,SF Charlottenburg-Wilmersdorf 03,Dhia Mayel,NA,NA,1,0
313,SF Charlottenburg-Wilmersdorf 03,Salmane Adib,NA,NA,1,0
314,SF Charlottenburg-Wilmersdorf 03,Nazir Boukari Yabara,NA,NA,1,0
315,SF Charlottenburg-Wilmersdorf 03,Janek Wendt,NA,IV,1,0
316,SF Charlottenburg-Wilmersdorf 03,Raphael Liwschiz,NA,NA,1,0
317,SF Charlottenburg-Wilmersdorf 03,Lucas Dziadek,NA,IV,1,0
